DO NOT USE	Batch User	Batch Name	Seq ID	*Model Name	*Model ID	*Model Version	Element Long  Name	*Element Physical Name	Element Description	Element Type	Characteristic Long Name	*Characteristic Physical Name	Characteristic Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic UOM	Characteristic Mandatory?	Characteristic PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group	Characteristic FK?	FK Element Name	FK Element Characteristic Name	Comments
	pihl	CDS Batch 2	1	CDS Data Model		1.3	program	program		Node	program_name	program_name		The name of the program under which related studies will be grouped in full text and unabbreviated form exactly as it will be displayed within the UI 	Property			string		Yes					program				
	pihl	CDS Batch 2	2	CDS Data Model		1.3	program	program		Node	program_acronym	program_acronym		The name of the program under which related studies will be grouped expressed in the form of the acronym by which it will identified within the UI br This property is used as the key via which study records can be associated with the appropriate program during data loading and to identify the correct records during data updates 	Property			string		Yes					program				
	pihl	CDS Batch 2	3	CDS Data Model		1.3	program	program		Node	program_short_description	program_short_description		An abbreviated single sentence description of the program 	Property			string							program				
	pihl	CDS Batch 2	4	CDS Data Model		1.3	program	program		Node	program_full_description	program_full_description		A more detailed multiple sentence description of the program 	Property			string							program				
	pihl	CDS Batch 2	5	CDS Data Model		1.3	program	program		Node	program_external_url	program_external_url		The external url to which users should be directed in order to learn more about the program 	Property			string							program				
	pihl	CDS Batch 2	6	CDS Data Model		1.3	program	program		Node	program_sort_order	program_sort_order		An arbitrarily assigned value used to dictate the order in which programs are displayed within the application s UI 	Property			integer		No					program				
	pihl	CDS Batch 2	7	CDS Data Model		1.3	program	program		Node	institution	institution		TBD	Property			String							program				
	pihl	CDS Batch 2	8	CDS Data Model		1.3	study	study		Node	study_name	study_name		Official name of study	Property			string		Yes					study				
	pihl	CDS Batch 2	9	CDS Data Model		1.3	study	study		Node	study_acronym	study_acronym		Short acronym or other study desginator	Property			string							study				
	pihl	CDS Batch 2	10	CDS Data Model		1.3	study	study		Node	study_description	study_description		Human readable study description	Property			string							study				
	pihl	CDS Batch 2	11	CDS Data Model		1.3	study	study		Node	short_description	short_description		Short description that will identify the dataset on public pages A clear and concise formula for the title would be like methodology of organism sample info 	Property			string							study				
	pihl	CDS Batch 2	12	CDS Data Model		1.3	study	study		Node	study_external_url	study_external_url		Website or other url relevant to study	Property			url							study				
	pihl	CDS Batch 2	13	CDS Data Model		1.3	study	study		Node	primary_investigator_name	primary_investigator_name		Name of principal investigator	Property			string							study				
	pihl	CDS Batch 2	14	CDS Data Model		1.3	study	study		Node	primary_investigator_email	primary_investigator_email		Email of principal investigator	Property			string							study				
	pihl	CDS Batch 2	15	CDS Data Model		1.3	study	study		Node	co_investigator_name	co_investigator_name		Name of co principal investigator	Property			string							study				
	pihl	CDS Batch 2	16	CDS Data Model		1.3	study	study		Node	co_investigator_email	co_investigator_email		Email of co principal investigator	Property			string							study				
	pihl	CDS Batch 2	17	CDS Data Model		1.3	study	study		Node	phs_accession	phs_accession		PHS accession number a k a dbGaP accession 	Property					Yes					study				
	pihl	CDS Batch 2	18	CDS Data Model		1.3	study	study		Node	bioproject_accession	bioproject_accession		NCBI BioProject accession ID	Property										study				
	pihl	CDS Batch 2	19	CDS Data Model		1.3	study	study		Node	index_date	index_date		Index date Day 0 to which all dates are relative for this study	Property										study				
	pihl	CDS Batch 2	20	CDS Data Model		1.3	study	study		Node	cds_requestor	cds_requestor		Identifies the user requesting storage in CDS	Property			string							study				
	pihl	CDS Batch 2	21	CDS Data Model		1.3	study	study		Node	funding_agency	funding_agency		Funding agency of the requestor study	Property			string							study				
	pihl	CDS Batch 2	22	CDS Data Model		1.3	study	study		Node	funding_source_program_name	funding_source_program_name		The funding source organization sponsor	Property			string							study				
	pihl	CDS Batch 2	23	CDS Data Model		1.3	study	study		Node	grant_id	grant_id		Grant or contract identifier	Property			string							study				
	pihl	CDS Batch 2	24	CDS Data Model		1.3	study	study		Node	clinical_trial_system	clinical_trial_system		Organization that provides clinical trial identifier if study is a clinical trial 	Property			string							study				
	pihl	CDS Batch 2	25	CDS Data Model		1.3	study	study		Node	clinical_trial_identifier	clinical_trial_identifier		Study identifier in the given clinical trial system 	Property			string							study				
	pihl	CDS Batch 2	26	CDS Data Model		1.3	study	study		Node	clinical_trial_arm	clinical_trial_arm		Arm of clinical trial if appropriate	Property			string							study				
	pihl	CDS Batch 2	27	CDS Data Model		1.3	study	study		Node	organism_species	organism_species		Species binomial of study participants	Property			string							study				
	pihl	CDS Batch 2	28	CDS Data Model		1.3	study	study		Node	adult_or_childhood_study	adult_or_childhood_study		Study participants are adult pediatric or other	Property										study				
	pihl	CDS Batch 2	29	CDS Data Model		1.3	study	study		Node	data_types	data_types		Data types for storage	Property										study				
	pihl	CDS Batch 2	30	CDS Data Model		1.3	study	study		Node	file_types	file_types		File types for storage	Property										study				
	pihl	CDS Batch 2	31	CDS Data Model		1.3	study	study		Node	data_access_level	data_access_level		Is data open controlled or mixed 	Property										study				
	pihl	CDS Batch 2	32	CDS Data Model		1.3	study	study		Node	cds_primary_bucket	cds_primary_bucket		The primary bucket for depositing data	Property			string							study				
