	DO NOT USE	Batch User	Batch Name	Seq ID	Model Name	Model Description	Model ID (Update Only)	Model Version	Context	Primary Modeling Language	Model Type	Element Name	Element Physical Name	Element Description	Element Type	Characteristic Name	Characteristic Physical Name	Characteristics Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic Mandatory	Characteristics PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group (Optional if no CDE is associated)	Comments	Characteristic FK?	FK Element Name	FK Element Name
0	"	"	pihl	CRDC Batch 1	1	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	clinical_observation	clinical_observation	The act by a healthcare worker of monitoring an identified subject and recording signs symptoms or behavior 	Attribute	days_to_birth	days_to_birth	"	"	"	"	"	"	"	"	"	"	int	"	"	"	"	"	"	"	"	"	"	clinical_observation	"	"	"	"	"	"	"	"
1	"	"	pihl	CRDC Batch 1	2	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	clinical_observation	clinical_observation	The act by a healthcare worker of monitoring an identified subject and recording signs symptoms or behavior 	Attribute	gender_identity	gender_identity	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	"	"	"	"	clinical_observation	"	"	"	"	"	"	"	"
2	"	"	pihl	CRDC Batch 1	3	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	clinical_observation	clinical_observation	The act by a healthcare worker of monitoring an identified subject and recording signs symptoms or behavior 	Attribute	sex	sex	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	"	"	"	"	clinical_observation	"	"	"	"	"	"	"	"
3	"	"	pihl	CRDC Batch 1	4	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	clinical_observation	clinical_observation	The act by a healthcare worker of monitoring an identified subject and recording signs symptoms or behavior 	Attribute	vital_status	vital_status	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	2847330	1	"	"	"	"	"	"	"	"	"	"
4	"	"	pihl	CRDC Batch 1	8	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	diagnosis	diagnosis	The investigation analysis and recognition of the presence and nature of disease condition or injury from expressed signs and symptoms also the scientific determination of any kind the concise results of such an investigation C15220 	Attribute	age_at_diagnosis	age_at_diagnosis	"	"	"	"	"	"	"	"	"	"	int	"	"	"	"	"	"	10609539	1	"	"	"	"	"	"	"	"	"	"
5	"	"	pihl	CRDC Batch 1	11	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	diagnosis	diagnosis	The investigation analysis and recognition of the presence and nature of disease condition or injury from expressed signs and symptoms also the scientific determination of any kind the concise results of such an investigation C15220 	Attribute	disease_code	disease_code	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	11479873	1	"	"	"	"	"	"	"	"	"	"
6	"	"	pihl	CRDC Batch 1	14	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	diagnosis	diagnosis	The investigation analysis and recognition of the presence and nature of disease condition or injury from expressed signs and symptoms also the scientific determination of any kind the concise results of such an investigation C15220 	Attribute	grade	grade	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	11325685	1	"	"	"	"	"	"	"	"	"	"
7	"	"	pihl	CRDC Batch 1	17	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	diagnosis	diagnosis	The investigation analysis and recognition of the presence and nature of disease condition or injury from expressed signs and symptoms also the scientific determination of any kind the concise results of such an investigation C15220 	Attribute	morphology	morphology	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	11326261	1	"	"	"	"	"	"	"	"	"	"
8	"	"	pihl	CRDC Batch 1	20	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	diagnosis	diagnosis	The investigation analysis and recognition of the presence and nature of disease condition or injury from expressed signs and symptoms also the scientific determination of any kind the concise results of such an investigation C15220 	Attribute	primary_diagnosis	primary_diagnosis	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	"	"	"	"	diagnosis	"	"	"	"	"	"	"	"
9	"	"	pihl	CRDC Batch 1	21	CRDCSearch	CRDCSearch Data model	"	"	1.0	CRDC	YAML	Physical Model	diagnosis	diagnosis	The investigation analysis and recognition of the presence and nature of disease condition or injury from expressed signs and symptoms also the scientific determination of any kind the concise results of such an investigation C15220 	Attribute	tissue_or_organ_of_origin	tissue_or_organ_of_origin	"	"	"	"	"	"	"	"	"	"	code	"	"	"	"	"	"	"	"	"	"	diagnosis	"	"	"	"	"	"	"	"
