	DO NOT USE	Batch User	Batch Name	Seq ID	Model Name	Model Description	Model ID (Update Only)	Model Version	Context	Primary Modeling Language	Model Type	Element Name	Element Physical Name	Element Description	Element Type	Characteristic Name	Characteristic Physical Name	Characteristics Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic Mandatory	Characteristics PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group (Optional if no CDE is associated)	Comments	Characteristic FK?	FK Element Name	FK Element Name
0		pihl	CRDC Batch 1	1	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	node	node		Node	property_1	property_1		text	integer				Yes					node				
1		pihl	CRDC Batch 1	2	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	node	node		Node	property_2	property_2		text	datetime				No					node				
2		pihl	CRDC Batch 1	3	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	node	node		Node	property_3	property_3		text					Preferred					node				
3		pihl	CRDC Batch 1	4	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	program	program		Node	program_name	program_name		The narrative title used to refer to a broad framework an administrative umbrella of goals under which related projects or other research activities are grouped Example Clinical Proteomic Tumor Analysis br CDE ID 11444542	string				Yes					program				
4		pihl	CRDC Batch 1	5	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	program	program		Node	program_short_name	program_short_name		An acronym or abbreviated form of the title of a broad framework of goals under which related projects or other research activities are grouped For example CPTAC br CDE ID 11459801 br This property is used as the key via which child records e g project and or study trial records can be associated with the appropriate program during data loading and to identify the correct records during data updates 	string				Yes					program				
5		pihl	CRDC Batch 1	6	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	project	project		Node	project_name	project_name		The narrative title used to refer to an organ site disease or phase specific data collection within a broad framework of goals under which related studies or other research activities are grouped br CDE ID 11459804	string				Yes					project				
6		pihl	CRDC Batch 1	7	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	project	project		Node	project_short_name	project_short_name		An acronym or abbreviated form of the title used to refer to an organ site or disease specific data collection within a broad framework of goals under which related studies or other research activities are grouped br CDE ID 11459806 br This property is used as the key via which child records e g study trial image collection and principal investigator records can be associated with the appropriate project during data loading and to identify the correct records during data updates 	string				Yes					project				
7		pihl	CRDC Batch 1	8	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	principal_investigator	principal_investigator		Node	principal_investigator_first_name	principal_investigator_first_name		The first or given name of the person responsible for the conduct of the clinical trial or research project br CDE ID 10624731	string				Yes					principal_investigator				
8		pihl	CRDC Batch 1	9	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	principal_investigator	principal_investigator		Node	principal_investigator_last_name	principal_investigator_last_name		The last or family name of the person responsible for the conduct of the clinical trial or research project br CDE ID 10624733	string				Yes					principal_investigator				
9		pihl	CRDC Batch 1	10	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	principal_investigator	principal_investigator		Node	principal_investigator_middle_name	principal_investigator_middle_name		The middle name of the person responsible for the conduct of the clinical trial or research project br CDE ID 10624732	string				No					principal_investigator				
10		pihl	CRDC Batch 1	11	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	principal_investigator	principal_investigator		Node	principal_investigator_orcid_id	principal_investigator_orcid_id		A persistent unique digital identifier assigned to a principal investigator by the Open Researcher and Contributor ID ORCID organization br CDE ID 10624734	string				Preferred					principal_investigator				
11		pihl	CRDC Batch 1	12	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	study_name	study_name		The narrative title used as a textual label for a research data collection For example Comparative Molecular Life History of Spontaneous Canine and Human Gliomas br CDE ID 11459810	string				Yes					study				
12		pihl	CRDC Batch 1	13	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	study_short_name	study_short_name		The acronym or abbreviated form of the title for a research data collection For example GLIOMA01 br CDE ID 11459812 br This property is used as the key via which child records e g image collection and subject records can be associated with the appropriate study trial during data loading and to identify the correct records during data updates 	string				Yes					study				
13		pihl	CRDC Batch 1	14	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	study_id	study_id		Any external identifier by which the study trial in question is known br NOT CURRENTLY ASSIGNED ANY CDE	string				No					study				
14		pihl	CRDC Batch 1	15	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	study_description	study_description		Narrative description of the study trial br NOT CURRENTLY ASSIGNED ANY CDE	string				Yes					study				
15		pihl	CRDC Batch 1	16	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	study_type	study_type		A classification of the study based upon the primary intent of the study s activities br CDE ID 11160683					Yes					study				
16		pihl	CRDC Batch 1	17	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	dates_of_conduct	dates_of_conduct		Timespan over which the study trial was is being conducted br NOT CURRENTLY ASSIGNED ANY CDE	string				Yes					study				
17		pihl	CRDC Batch 1	18	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	associated_link	associated_link		Node	associated_link_id	associated_link_id		A unique identifier of each associated link record used to identify the correct associated link records during data updates br NO CDE REQUIRED	string				Yes					associated_link				
18		pihl	CRDC Batch 1	19	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	associated_link	associated_link		Node	associated_link_name	associated_link_name		The exact text to be displayed within the UI and used as an intuitive identifier of any given link associated with the study trial in question br NO CDE REQUIRED	string				Yes					associated_link				
19		pihl	CRDC Batch 1	20	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	associated_link	associated_link		Node	associated_link_url	associated_link_url		The url to which an end user will be redirected upon selection of the corresponding link name displayed within the UI br NO CDE REQUIRED	string				Yes					associated_link				
20		pihl	CRDC Batch 1	21	CTDC	CTDC Data model		1.3	CRDC	YAML	Physical Model	image_collection	image_collection		Node	image_collection_id	image_collection_id		A unique identifier of each image collection record used to identify the correct image collection records during data updates br NO CDE REQUIRED	string				Yes					image_collection				
