	DO NOT USE	Batch User	Batch Name	Seq ID	Model Name	Model Description	Model ID (Update Only)	Model Version	Context	Primary Modeling Language	Model Type	Element Name	Element Physical Name	Element Description	Element Type	Characteristic Name	Characteristic Physical Name	Characteristics Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic Mandatory	Characteristics PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group (Optional if no CDE is associated)	Comments	Characteristic FK?	FK Element Name	FK Element Name
0		pihl	CRDC Batch 1	1	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	clinical_observation	clinical_observation		Node	days_to_birth	days_to_birth		text	int				No					clinical_observation				
1		pihl	CRDC Batch 1	2	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	clinical_observation	clinical_observation		Node	sex	sex		text	code				No					clinical_observation				
2		pihl	CRDC Batch 1	3	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	clinical_observation	clinical_observation		Node	gender_identity	gender_identity		text	code				No					clinical_observation				
3		pihl	CRDC Batch 1	4	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	clinical_observation	clinical_observation		Node	vital_status	vital_status		text	code				No			2847330.0						
4		pihl	CRDC Batch 1	5	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	diagnosis	diagnosis		Node	disease_code	disease_code		text	code				No			11479873.0						
5		pihl	CRDC Batch 1	6	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	diagnosis	diagnosis		Node	age_at_diagnosis	age_at_diagnosis		text	int				No			10609539.0						
6		pihl	CRDC Batch 1	7	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	diagnosis	diagnosis		Node	primary_diagnosis	primary_diagnosis		text	code				No					diagnosis				
7		pihl	CRDC Batch 1	8	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	diagnosis	diagnosis		Node	grade	grade		text	code				No			11325685.0						
8		pihl	CRDC Batch 1	9	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	diagnosis	diagnosis		Node	morphology	morphology		text	code				No			11326261.0						
9		pihl	CRDC Batch 1	10	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	diagnosis	diagnosis		Node	tissue_or_organ_of_origin	tissue_or_organ_of_origin		text	code				No					diagnosis				
