DO NOT USE	Batch User	Batch Name	Seq ID	*Model Name	*Model ID	*Model Version	Element Long  Name	*Element Physical Name	Element Description	Element Type	Characteristic Long Name	*Characteristic Physical Name	Characteristic Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic UOM	Characteristic Mandatory?	Characteristic PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group	Characteristic FK?	FK Element Name	FK Element Characteristic Name	Comments
	pihl	CRDC Batch 2	1	CRDC Search		1.0	clinical_observation	clinical_observation		Node	days_to_birth	days_to_birth		text	Property			int		No					clinical_observation				
	pihl	CRDC Batch 2	2	CRDC Search		1.0	clinical_observation	clinical_observation		Node	sex	sex		text	Property			code		No					clinical_observation				
	pihl	CRDC Batch 2	3	CRDC Search		1.0	clinical_observation	clinical_observation		Node	gender_identity	gender_identity		text	Property			code		No					clinical_observation				
	pihl	CRDC Batch 2	4	CRDC Search		1.0	clinical_observation	clinical_observation		Node	vital_status	vital_status		text	Property			code		No			2847330.0						
	pihl	CRDC Batch 2	5	CRDC Search		1.0	diagnosis	diagnosis		Node	disease_code	disease_code		text	Property			code		No			11479873.0						
	pihl	CRDC Batch 2	6	CRDC Search		1.0	diagnosis	diagnosis		Node	age_at_diagnosis	age_at_diagnosis		text	Property			int		No			10609539.0						
	pihl	CRDC Batch 2	7	CRDC Search		1.0	diagnosis	diagnosis		Node	primary_diagnosis	primary_diagnosis		text	Property			code		No					diagnosis				
	pihl	CRDC Batch 2	8	CRDC Search		1.0	diagnosis	diagnosis		Node	grade	grade		text	Property			code		No			11325685.0						
	pihl	CRDC Batch 2	9	CRDC Search		1.0	diagnosis	diagnosis		Node	morphology	morphology		text	Property			code		No			11326261.0						
	pihl	CRDC Batch 2	10	CRDC Search		1.0	diagnosis	diagnosis		Node	tissue_or_organ_of_origin	tissue_or_organ_of_origin		text	Property			code		No					diagnosis				
	pihl	CRDC Batch 2	11	CRDC Search		1.0	file	file		Node	crdc_file_id	crdc_file_id		text	Property			string		No					file				
	pihl	CRDC Batch 2	12	CRDC Search		1.0	file	file		Node	description	description		text	Property			string		No			11280338.0						
	pihl	CRDC Batch 2	13	CRDC Search		1.0	file	file		Node	type	type		text	Property			code		No					file				
	pihl	CRDC Batch 2	14	CRDC Search		1.0	file	file		Node	checksum_value	checksum_value		text	Property			string		No			11480133.0						
	pihl	CRDC Batch 2	15	CRDC Search		1.0	file	file		Node	compression_status	compression_status		text	Property			code		No			11387114.0						
	pihl	CRDC Batch 2	16	CRDC Search		1.0	file	file		Node	format	format		text	Property			code		No			11416926.0						
	pihl	CRDC Batch 2	17	CRDC Search		1.0	file	file		Node	size	size		text	Property			int		No			11479876.0						
	pihl	CRDC Batch 2	18	CRDC Search		1.0	file	file		Node	category	category		text	Property			code		No					file				
	pihl	CRDC Batch 2	19	CRDC Search		1.0	file	file		Node	drs_uri	drs_uri		text	Property			string		No					file				
	pihl	CRDC Batch 2	20	CRDC Search		1.0	file	file		Node	name	name		text	Property			string		No			11459810.0						
	pihl	CRDC Batch 2	21	CRDC Search		1.0	file	file		Node	checksum_type	checksum_type		text	Property			code		No			11475057.0						
	pihl	CRDC Batch 2	22	CRDC Search		1.0	file_identifier	file_identifier		Node	component_field_name	component_field_name		text	Property			string		No					file_identifier				
	pihl	CRDC Batch 2	23	CRDC Search		1.0	file_identifier	file_identifier		Node	component_id_value	component_id_value		text	Property			string		No					file_identifier				
	pihl	CRDC Batch 2	24	CRDC Search		1.0	file_identifier	file_identifier		Node	component_name	component_name		text	Property			string		No					file_identifier				
	pihl	CRDC Batch 2	25	CRDC Search		1.0	person	person		Node	role_type	role_type		text	Property			code		No			2201713.0						
	pihl	CRDC Batch 2	26	CRDC Search		1.0	person	person		Node	middle_name	middle_name		text	Property			string		No			2179590.0						
	pihl	CRDC Batch 2	27	CRDC Search		1.0	person	person		Node	first_name	first_name		text	Property			string		No			2179589.0						
	pihl	CRDC Batch 2	28	CRDC Search		1.0	person	person		Node	last_name	last_name		text	Property			string		No			2179591.0						
	pihl	CRDC Batch 2	29	CRDC Search		1.0	person	person		Node	orcid	orcid		text	Property			string		No			10624734.0						
	pihl	CRDC Batch 2	30	CRDC Search		1.0	prgprjstudy_identifier	prgprjstudy_identifier		Node	component_field_name	component_field_name		text	Property			string		No					prgprjstudy_identifier				
	pihl	CRDC Batch 2	31	CRDC Search		1.0	prgprjstudy_identifier	prgprjstudy_identifier		Node	component_id_value	component_id_value		text	Property			string		No					prgprjstudy_identifier				
	pihl	CRDC Batch 2	32	CRDC Search		1.0	prgprjstudy_identifier	prgprjstudy_identifier		Node	component_name	component_name		text	Property			string		No					prgprjstudy_identifier				
	pihl	CRDC Batch 2	33	CRDC Search		1.0	program	program		Node	crdc_program_id	crdc_program_id		text	Property			string		No					program				
	pihl	CRDC Batch 2	34	CRDC Search		1.0	program	program		Node	short_name	short_name		text	Property			string		No			11459812.0						
	pihl	CRDC Batch 2	35	CRDC Search		1.0	program	program		Node	name	name		text	Property			string		No			11459810.0						
	pihl	CRDC Batch 2	36	CRDC Search		1.0	project	project		Node	short_name	short_name		text	Property			string		No			11459812.0						
	pihl	CRDC Batch 2	37	CRDC Search		1.0	project	project		Node	crdc_project_id	crdc_project_id		text	Property			stirng		No					project				
	pihl	CRDC Batch 2	38	CRDC Search		1.0	project	project		Node	name	name		text	Property			string		No			11459810.0						
	pihl	CRDC Batch 2	39	CRDC Search		1.0	specimen	specimen		Node	crdc_specimen_id	crdc_specimen_id		text	Property			string		No					specimen				
	pihl	CRDC Batch 2	40	CRDC Search		1.0	specimen	specimen		Node	tissue_disease_status	tissue_disease_status		text	Property			code		No					specimen				
	pihl	CRDC Batch 2	41	CRDC Search		1.0	specimen	specimen		Node	uberon_specimen_anatomic_site	uberon_specimen_anatomic_site		text	Property			code		No			12083894.0						
	pihl	CRDC Batch 2	42	CRDC Search		1.0	specimen_identifier	specimen_identifier		Node	component_field_name	component_field_name		text	Property			string		No					specimen_identifier				
	pihl	CRDC Batch 2	43	CRDC Search		1.0	specimen_identifier	specimen_identifier		Node	component_id_value	component_id_value		text	Property			string		No					specimen_identifier				
	pihl	CRDC Batch 2	44	CRDC Search		1.0	specimen_identifier	specimen_identifier		Node	component_name	component_name		text	Property			string		No					specimen_identifier				
	pihl	CRDC Batch 2	45	CRDC Search		1.0	study	study		Node	dbGap_study_accession	dbGap_study_accession		text	Property			string		No			11524544.0						
	pihl	CRDC Batch 2	46	CRDC Search		1.0	study	study		Node	short_name	short_name		text	Property			string		No			11459812.0						
	pihl	CRDC Batch 2	47	CRDC Search		1.0	study	study		Node	crdc_study_id	crdc_study_id		text	Property			string		No					study				
	pihl	CRDC Batch 2	48	CRDC Search		1.0	study	study		Node	name	name		text	Property			string		No			11459810.0						
	pihl	CRDC Batch 2	49	CRDC Search		1.0	subject	subject		Node	taxon	taxon		text	Property			code		No			10543100.0						
	pihl	CRDC Batch 2	50	CRDC Search		1.0	subject	subject		Node	ethnicity	ethnicity		text	Property			code		No			2192217.0						
	pihl	CRDC Batch 2	51	CRDC Search		1.0	subject	subject		Node	race	race		text	Property			code		No			2192199.0						
	pihl	CRDC Batch 2	52	CRDC Search		1.0	subject	subject		Node	cause_of_death	cause_of_death		text	Property			code		No			4783274.0						
	pihl	CRDC Batch 2	53	CRDC Search		1.0	subject	subject		Node	crdc_subject_id	crdc_subject_id		text	Property			string		No					subject				
	pihl	CRDC Batch 2	54	CRDC Search		1.0	subject	subject		Node	year_of_birth	year_of_birth		text	Property			date		No					subject				
	pihl	CRDC Batch 2	55	CRDC Search		1.0	subject_identifier	subject_identifier		Node	component_field_name	component_field_name		text	Property			string		No					subject_identifier				
	pihl	CRDC Batch 2	56	CRDC Search		1.0	subject_identifier	subject_identifier		Node	component_id_value	component_id_value		text	Property			string		No					subject_identifier				
	pihl	CRDC Batch 2	57	CRDC Search		1.0	subject_identifier	subject_identifier		Node	component_name	component_name		text	Property			string		No					subject_identifier				
	pihl	CRDC Batch 2	58	CRDC Search		1.0	treatment	treatment		Node	anatomic_site	anatomic_site		text	Property			code		No			14461856.0						
	pihl	CRDC Batch 2	59	CRDC Search		1.0	treatment	treatment		Node	type	type		text	Property			code		No					treatment				
	pihl	CRDC Batch 2	60	CRDC Search		1.0	treatment	treatment		Node	therapy_indicator	therapy_indicator		text	Property			code		No			14713318.0						
