DO NOT USE	Batch User	Batch Name	Seq ID	*Model Name	*Model ID	*Model Version	Element Long  Name	*Element Physical Name	Element Description	Element Type	Characteristic Long Name	*Characteristic Physical Name	Characteristic Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic UOM	Characteristic Mandatory?	Characteristic PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group	Characteristic FK?	FK Element Name	FK Element Characteristic Name	Comments
	pihl	HTAN Batch 1	1	HTAN  Data Model		1.0.0	 Imaging Level 4	 Imaging Level 4		Node	HTAN Parent Channel Metadata ID	HTAN Parent Channel Metadata ID		HTAN ID for a level 3 channels table 	Property					Yes					 Imaging Level 4				
	pihl	HTAN Batch 1	2	HTAN  Data Model		1.0.0	Accessory	Accessory		Node	Accessory Manifest	Accessory Manifest		Accessory specific attributes	Property					Yes					Accessory				
	pihl	HTAN Batch 1	3	HTAN  Data Model		1.0.0	Accessory	Accessory		Node	Accessory Name	Accessory Name		Name of accessory file or folder	Property					Yes					Accessory				
	pihl	HTAN Batch 1	4	HTAN  Data Model		1.0.0	Accessory	Accessory		Node	Accessory Synapse ID	Accessory Synapse ID		Synapse ID of accessory file folder or dataset	Property			regex match syn d 		Yes					Accessory				
	pihl	HTAN Batch 1	5	HTAN  Data Model		1.0.0	Accessory	Accessory		Node	Accessory Type	Accessory Type		Type of accessory entity File Folder or Dataset 	Property					Yes					Accessory				
	pihl	HTAN Batch 1	6	HTAN  Data Model		1.0.0	Accessory	Accessory		Node	Accessory Description	Accessory Description		Free text field containing description of accessory file s 	Property					Yes					Accessory				
	pihl	HTAN Batch 1	7	HTAN  Data Model		1.0.0	Accessory	Accessory		Node	Accessory-associated HTAN Parent Data File ID	Accessory-associated HTAN Parent Data File ID		HTAN Data File Identifier s of the files associated with the accessory content Should be comma separated lists 	Property			list like		Yes					Accessory				
	pihl	HTAN Batch 1	8	HTAN  Data Model		1.0.0	Acute Lymphoblastic Leukemia Tier 3	Acute Lymphoblastic Leukemia Tier 3		Node	Specimen Blast Count Percentage Value	Specimen Blast Count Percentage Value		The value in percent of the medical procedure that involves testing a sample of blood for blast cells immature undifferentiated cells during diagnosis	Property					Yes					Acute Lymphoblastic Leukemia Tier 3				
	pihl	HTAN Batch 1	9	HTAN  Data Model		1.0.0	Acute Lymphoblastic Leukemia Tier 3	Acute Lymphoblastic Leukemia Tier 3		Node	NCI ALL Risk Group	NCI ALL Risk Group		The NCI risk group assigned to a patient at initial diagnosis with Acute Lymphoblastic Leukemia 	Property					Yes					Acute Lymphoblastic Leukemia Tier 3				
	pihl	HTAN Batch 1	10	HTAN  Data Model		1.0.0	Acute Lymphoblastic Leukemia Tier 3	Acute Lymphoblastic Leukemia Tier 3		Node	MRD ALL Diagnostic Sensitivity	MRD ALL Diagnostic Sensitivity		The assay sensitivity results of a diagnostic assessment of Minimal Residual Disease in patients diagnosed with Acute Lymphoblastic Leukemia 	Property					Yes					Acute Lymphoblastic Leukemia Tier 3				
